a-ba,阿爸,18137
a-ba,阿坝,4276
a-ba-la-qi-ya-shan,阿巴拉契亚山,19
a-bao,阿宝,885
a-ba-suo-fu,阿巴索夫,42
a-ba-zhou,阿坝州,3839
a-ben-da-zuo,阿苯达唑,11
a-ben-da-zuo-pian,阿苯达唑片,17
a-bian,阿扁,1279
a-bo,阿波,193
a-bo-ding-jun,阿伯丁郡,60
a-bo-du-er,阿卜杜尔,196
a-bo-luo,阿波罗,2718
a-bu-dou-ke-li-mu,阿不都克里木,75
a-bu-gui-xiu,阿部规秀,48
a-chang-zu,阿昌族,131
a-cheng-shi,阿城市,83
a-cheng-xian,阿城县,22
a-chu,阿初,16
a-dao-fu,阿道夫,616
a-de-fu-wei-zhi,阿德福韦酯,61
a-de-mi-er,阿德米尔,15
a-dou,阿斗,42632
a-du,阿杜,309
a-duo,阿朵,3309
a-duo-xiang,阿多乡,24
a-er-ba,阿尔巴,196
a-er-bei-si,阿尔卑斯,1035
a-er-bei-si-shan,阿尔卑斯山,1386
a-er-bei-te,阿尔贝特,319
a-er-bei-tuo,阿尔贝托,373
a-er-bin-na,阿尔宾娜,122
a-er-bo-te-gong-yuan-sai-dao,阿尔伯特公园赛道,1143
a-er-ci-hai-mo-bing,阿尔茨海默病,409
a-er-fa-luo-mi-ou,阿尔法罗密欧,1203
a-er-fu-lei-de,阿尔弗雷德,594
a-er-fu-lei-duo,阿尔弗雷多,507
a-er-ji-er,阿尔及尔,898
a-er-jin-shan,阿尔金山,381
a-er-ka,阿尔卡,15
a-er-shan,阿尔山,686
a-er-shan-shi,阿尔山市,410
a-er-tai-shan,阿尔泰山,412
a-fang-si-lu,阿房四路,18
a-fan-ti-de-gu-shi,阿凡提的故事,21
a-fa-si-ting,阿伐斯汀,54
a-fei,阿飞,48603
a-fu-han,阿富汗,54219
a-fu-han-lie-gou,阿富汗猎狗,17
a-gen-ting-du-gao-quan,阿根廷杜高犬,37
a-gu-bai,阿古柏,35
a-gui,阿桂,89
a-he,阿河,11
a-he-mai-ti-jiang,阿合买提江,49
a-he-qi,阿合奇,130
a-hong,阿訇,34432
a-hong-kou,阿洪口,33
a-huan-ya-mian,阿焕鸭面,18
ai-ai,皑皑,28598
ai-ai-fu-mu,哀哀父母,26
ai-ai-yuan-ren-cun,暧暧远人村,28
ai-ao-wa-zhou,艾奥瓦州,2709
ai-bian,癌变,2392
ai-bi-hu,艾比湖,139
ai-bing-bi-sheng,哀兵必胜,45
ai-bo-la-bing-du,埃博拉病毒,5220
ai-bo-la-bing-du-bing,埃博拉病毒病,78
ai-bo-la-chu-xue-re,埃博拉出血热,1362
ai-bu-shi-shou,爱不释手,3845
ai-cai,爱彩,39
ai-cai-ru-ming,爱财如命,42
ai-cao,艾草,664
ai-cheng,爱称,46662
ai-chou,哀愁,25684
ai-ci,挨次,40951
ai-da,爱达,123
ai-da-he-zhou,爱达荷州,534
ai-da-hua-yuan,爱达花园,34
ai-dai,爱戴,11712
ai-dao,哀悼,8091
ai-da-shou-ma,挨打受骂,42
ai-da-shou-qi,挨打受气,21
ai-de-er-man,埃德尔曼,36
ai-de-hua,爱德华,8254
ai-de-hua-shi-jun-bing,爱德华氏菌病,17
ai-de-hua-zi,爱德华兹,1084
ai-de-jia,埃德加,747
ai-de-meng-de,埃德蒙德,91
ai-deng-bao,爱登堡,79
ai-deng-bao-yu-mu,艾登堡鱼母,38
ai-ding-hu,艾丁湖,103
ai-di-sheng,爱迪生,1235
ai-di-sheng,艾迪生,24
ai-di-xi,艾迪西,67
ai-dou,爱都,504
ai-e,挨饿,16362
ai-er,艾尔,404
ai-er-bu-shang,哀而不伤,142
ai-er-dun,埃尔顿,201
ai-er-lan-ka-fei,爱尔兰咖啡,4017
ai-fei-er,艾菲尔,32
ai-fu,爱抚,19330
ai-fu-nuan-gong-wan,艾附暖宫丸,20
ai-gao,哀告,36418
ai-ge,哀歌,40509
ai-gong-jie,爱工街,37
ai-guo,爱国,2338
ai-guo-cun,爱国村,71
ai-guo-lu,爱国路,284
ai-ha-mai-de,艾哈迈德,9717
ai-hao,哀嚎,45194
ai-hao,艾蒿,36593
ai-hao,哀号,29605
ai-hao,爱好,5492
ai-hao-gao,艾蒿糕,18
ai-he,爱河,36942
ai-hong-bian-ye,哀鸿遍野,589
ai-hu,挨户,17735
ai-hu,爱护,5862
ai-hua-lu,爱华路,22
ai-hui,爱辉,34
ai-ji,埃及,3121
ai-jia-ai-hu,挨家挨户,11057
ai-jia-mi,爱加密,497
ai-jian,爱建,121
ai-jiang,爱将,34908
ai-jiao,哀叫,35031
ai-ji-fen-shu,埃及分数,109
ai-jin,挨近,26596
ai-jing,艾敬,76
ai-ji-yin,癌基因,66
ai-ji-yi-wen,埃及伊蚊,313
ai-ke,艾柯,72
ai-ke-bing-du,埃可病毒,28
ai-kou,碍口,54644
ai-kou,隘口,39452
ai-ku,哀哭,41402
ai-lao,哀牢,27
ai-li,爱梨,13
ai-lian,哀怜,35032
ai-lian,爱怜,23303
ai-lian,爱恋,22255
ai-ling,爱玲,57
ai-ling,矮岭,13
ai-li-xin,爱立信,793
ai-li-ya-si,艾利亚斯,34
ai-lun,艾伦,5075
ai-mei,爱美,21216
ai-mei,暧昧,17148
ai-mei-bu-ming,暧昧不明,174
ai-men-ai-hu,挨门挨户,121
ai-meng-meng,艾梦萌,49
ai-men-zhu-hu,挨门逐户,64
ai-mi-er,埃米尔,794
ai-ming,哀鸣,28081
ai-min-jie,爱民街,28
ai-min-lu,爱民路,157
ai-min-ru-zi,爱民如子,148
ai-min-sheng-zhi-duo-jian,哀民生之多艰,115
ai-mo-da-yu-xin-si,哀莫大于心死,158
ai-mo-lv,爱墨绿,13
ai-mo-neng-zhu,爱莫能助,913
ai-mo-sheng,爱默生,167
ai-mu,爱慕,18550
ai-nan,碍难,48993
ai-nv,爱女,29712
ai-pang,矮胖,27829
ai-pei-kang-yuan,癌胚抗原,64
ai-pi,挨批,34907
ai-qi,哀戚,46661
ai-qi,哀泣,44322
ai-qi,嗳气,280
ai-qian-bing-bian,癌前病变,480
ai-qian-ru-ming,爱钱如命,24
ai-qing,爱情,2005
ai-qing,艾青,546
ai-qiu,哀求,11984
ai-qi-yi,爱奇艺,799
ai-qun-da-sha,爱群大厦,205
ai-ren,爱人,5519
ai-ren-song-gao,矮人松糕,115
ai-rong-yuan,爱榕园,11
ai-sen-hao-wei-er,艾森豪威尔,1064
ai-shang,哀伤,19763
ai-sha-ni-ya,爱沙尼亚,2797
ai-shen,爱神,30357
ai-sheng-tan-qi,唉声叹气,1136
ai-shi,碍事,24816
ai-shou-ai-jiao,碍手碍脚,114
ai-si,哀思,23975
ai-si-ke-ba,埃斯科巴,35
ai-si-qi,艾思奇,112
ai-si-zuo-lun,艾司唑仑,46
ai-si-zuo-lun-pian,艾司唑仑片,15
ai-tan,哀叹,26507
ai-ti-ga-er-qing-zhen-si,艾提尕尔清真寺,255
ai-tong,哀恸,46377
ai-tong,哀痛,27828
ai-wan,哀婉,32720
ai-wei-ta,艾薇塔,13
ai-wei-wei,艾未未,157
ai-wo-wo,艾窝窝,1089
ai-wu,艾芜,60
ai-wu,矮屋,38
ai-wu-ji-wu,爱屋及乌,293
ai-xi,爱惜,14976
ai-xiao,矮小,16293
ai-xiao-yang,艾小羊,53
ai-xin,爱心,4350
ai-xin,爱新,61
ai-xin,艾昕,17
ai-xin-lu,爱心路,132
ai-xi-yu-mao,爱惜羽毛,246
ai-ya,唉呀,25872
ai-ya,哎呀,8456
ai-ya-ka-pu-fan-long-ge-xi,爱亚卡普凡龙鸽系,17
ai-yan,碍眼,43825
ai-ye,艾叶,897
ai-yin-si-tan,爱因斯坦,2888
ai-yo,哎哟,11815
ai-yuan,哀怨,23209
ai-yue,哀乐,20602
ai-zeng,爱憎,24550
ai-zeng-fen-ming,爱憎分明,517
ai-zheng,挨整,37482
ai-zheng,癌症,35606
ai-zhong,癌肿,44071
ai-zi,矮子,22440
ai-zi-bing,艾滋病,16147
ai-zi-bing-chu-shai-shi-yan-shi,艾滋病初筛实验室,26
ai-zi-bing-fang-zhi-tiao-li,艾滋病防治条例,1637
ai-zi-bing-kang-ti,艾滋病抗体,210
ai-zi-bing-li-wo-men-you-duo-yuan,艾滋病离我们有多远,228
ai-zi-bing-yi-miao,艾滋病疫苗,258
ai-zou,挨揍,36941
a-jia-ke-si,阿贾克斯,321
a-jia-ni-ya,阿加尼亚,19
a-jia-sha,阿加莎,170
a-jia-xi,阿加西,136
a-ji-mi-de,阿基米德,361
a-ji-nuo,阿基诺,7898
a-ka-bo-tang,阿卡波糖,39
a-ka-bo-tang-pian,阿卡波糖片,26
a-ka-liu-si,阿喀琉斯,277
a-ke-la,阿克拉,542
a-ken-dan-chang-hui,阿肯弹唱会,30
a-ken-se-zhou,阿肯色州,1526
a-ke-sai,阿克塞,239
a-ke-sa-ke-ma-re-lei-xiang,阿克萨克马热勒乡,19
a-ke-su-pu-xiang,阿克苏普乡,13
a-ke-su-shi,阿克苏市,1737
a-ke-tao,阿克陶,166
a-ke-ti-kan-dun-xiang,阿克提坎墩乡,28
a-ke-tu-bie-ke-xiang,阿克吐别克乡,26
a-kui-na,阿奎那,36
